TraceFinder Compound Database Export,Schema Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,PEAK 1,,,,,,,,,,PEAK 2,,,,,,,,,,PEAK 3,,,,,,,,,,PEAK 4,,,,,,,,,,
CompoundName,ExperimentType,Compound Type,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,Internal Standard,Internal Standard Concentration,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp
(R)-1-Aminopropan-2-ol,XIC,eTargetCompound,C3H9NO,,,ESI,5000,,0,,76.07569,M+H,+,1,0,120,,,,,98.05764,M+Na,+,1,0,60,,,,,93.10224,M+NH4,+,1,0,60,,,,,74.06114,M-H,-,1,0,60,,,
Trimethylamine N-oxide,XIC,eTargetCompound,C3H9NO,,,ESI,5000,,0,,76.07569,M+H,+,1,0,120,,,,,98.05764,M+Na,+,1,0,60,,,,,93.10224,M+NH4,+,1,0,60,,,,,74.06114,M-H,-,1,0,60,,,
Thioacetate,XIC,eTargetCompound,C2H4OS,,,ESI,5000,,0,,77.00556,M+H,+,1,0,120,,,,,98.98751,M+Na,+,1,0,60,,,,,94.03211,M+NH4,+,1,0,60,,,,,74.99101,M-H,-,1,0,60,,,
Thiourea,XIC,eTargetCompound,CH4N2S,,,ESI,5000,,0,,77.0168,M+H,+,1,0,120,,,,,98.99874,M+Na,+,1,0,60,,,,,94.04334,M+NH4,+,1,0,60,,,,,75.00224,M-H,-,1,0,60,,,
AG002_Glycolate,XIC,eTargetCompound,,,,ESI,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0088,M-,-,1,8.58,60,,,
Trimethylsulfonium,XIC,eTargetCompound,C3H8S,,,ESI,5000,,0,,77.04195,M+H,+,1,0,120,,,,,99.02389,M+Na,+,1,0,60,,,,,94.0685,M+NH4,+,1,0,60,,,,,75.02739,M-H,-,1,0,60,,,
"(R)-Propane-1,2-diol",XIC,eTargetCompound,C3H8O2,,,ESI,5000,,0,,77.05971,M+H,+,1,0,120,,,,,99.04165,M+Na,+,1,0,60,,,,,94.08626,M+NH4,+,1,0,60,,,,,75.04515,M-H,-,1,0,60,,,
"Propane-1,2-diol",XIC,eTargetCompound,C3H8O2,,,ESI,5000,,0,,77.05971,M+H,+,1,0,120,,,,,99.04165,M+Na,+,1,0,60,,,,,94.08626,M+NH4,+,1,0,60,,,,,75.04515,M-H,-,1,0,60,,,
"Propane-1,3-diol",XIC,eTargetCompound,C3H8O2,,,ESI,5000,,0,,77.05971,M+H,+,1,0,120,,,,,99.04165,M+Na,+,1,0,60,,,,,94.08626,M+NH4,+,1,0,60,,,,,75.04515,M-H,-,1,0,60,,,
Cysteamine,XIC,eTargetCompound,C2H7NS,,,ESI,5000,,0,,78.0372,M+H,+,1,0,120,,,,,100.01914,M+Na,+,1,0,60,,,,,95.06375,M+NH4,+,1,0,60,,,,,76.02264,M-H,-,1,0,60,,,
